"country_code_numeric","country_code","country","year","0-0M","0-0F","1-4M","1-4F","5-9M","5-9F","10-19M","10-19F","20-29M","20-29F","30-39M","30-39F","40-49M","40-49F","50-59M","50-59F","60-69M","60-69F","70-79M","70-79F","80-89M","80-89F","90+M","90+F"
686,"SEN","Senegal",1990,0.0895788284051897,0.069363395219712,0.115481872913502,0.0875348743665083,0.111950724060453,0.0835063401252328,0.124230142961011,0.0914957844926119,0.132148469899804,0.0957258586769426,0.135775691332634,0.0965755243985864,0.137241491659785,0.0957428455514176,0.138711786819548,0.0956370943417565,0.140709819792393,0.0980897880077759,0.140695597029834,0.0991252420932001,0.137852588018778,0.0974450491511408,0.129756972449567,0.0912281747685146
688,"SRB","Serbia",1990,0.0110168879076374,0.00706452979102266,0.0175576391800166,0.0126107462714547,0.0160937281892504,0.0120392134319342,0.0186692634859665,0.0138012367835512,0.0204233724480896,0.0144812052207385,0.0213278648175534,0.0145166437815093,0.021470264922662,0.0142428692471014,0.0201164573726479,0.0137463317411705,0.0174732017343648,0.0131540506965375,0.0136726008090119,0.0120442926423133,0.0104436017754864,0.0107165221140249,0.00806485257007197,0.00920642062185865
694,"SLE","Sierra Leone",1990,0.100520157922046,0.072373948737181,0.112219160121875,0.0815011842832731,0.123194473300722,0.0906931974484149,0.125272467258363,0.0939361566350899,0.124177164392719,0.0947710002303492,0.121859875841957,0.0936880756755559,0.119419668304768,0.0916281221467919,0.118567639891299,0.0906424687943733,0.119130885258067,0.092419034928798,0.118504196998354,0.0933090866045172,0.115961253509353,0.092061282406868,0.110257097791258,0.0872129886310393
704,"VNM","Viet Nam",1990,0.087637527539858,0.0640636803108145,0.132521922315395,0.0998672731539415,0.122918932639762,0.0939001777262578,0.13794088412758,0.105671958119091,0.145966588529419,0.111263850876595,0.149235539667022,0.11234911795148,0.150769316443656,0.111701585924188,0.153303418244803,0.113481436741139,0.159963212832663,0.119817442490327,0.165566834152582,0.126036477555468,0.167848769340374,0.130073750149052,0.164262379253436,0.129856999181206
706,"SOM","Somalia",1990,0.11402328841665,0.085168952262542,0.158923353199375,0.117918633633517,0.135442529690751,0.0990965787469643,0.158951096573177,0.113585894404579,0.178774674371345,0.124506445668411,0.191128377077623,0.130599930548936,0.198963824065845,0.134009153415405,0.206374503810024,0.137548767122101,0.21782153454977,0.144609240124187,0.227365194867302,0.150615582642341,0.233117295637311,0.154035010258712,0.233757221745344,0.153407112952968
710,"ZAF","South Africa",1990,0.106115215341165,0.0763581094684572,0.133675105799185,0.094363445205557,0.170799174836659,0.119616723312981,0.171788357545539,0.120273937315018,0.15361624159523,0.109314024779414,0.136420393698128,0.0969386755290059,0.123945752993724,0.0877932024561264,0.112548828872126,0.0802756767497915,0.105191017596037,0.0761318538787197,0.0971566928249997,0.0717280570105556,0.0888576719879554,0.0674215767643015,0.0763670360575574,0.0626602121994451
716,"ZWE","Zimbabwe",1990,0.11468655981666,0.0950867848195271,0.158992966567886,0.124927579201922,0.15012828311789,0.114158403038858,0.171179531460105,0.126271410640346,0.187477129458284,0.134256400345795,0.195584422377959,0.138926374420723,0.195154814754027,0.141424705320072,0.183174264756848,0.14305903152242,0.176634846058817,0.147843043954775,0.170923866396486,0.152367483506833,0.164213930747754,0.155048044905897,0.153874060744964,0.155358031668296
728,"SSD","South Sudan",1990,0.141327309039326,0.116704931053595,0.201658721802188,0.166728059538913,0.189901308713083,0.155996725621329,0.211582579712932,0.171045220041583,0.222660762630009,0.176655425007414,0.224680657197279,0.176306780787508,0.220939645635036,0.172730423108194,0.214455131970652,0.168120239496744,0.213666167599873,0.168571422704801,0.211564447763069,0.167826062745316,0.205258225879996,0.163608921621577,0.190451036344575,0.153800556734486
729,"SDN","Sudan",1990,0.0889548411432468,0.0587672391030104,0.11399266271091,0.0742718327588858,0.117580688455171,0.0763990628265908,0.125536999968666,0.0821466495160181,0.127242702606393,0.0844569471154638,0.125338024967392,0.0844496431549279,0.122123025405174,0.0833857813039725,0.119195262411143,0.0822579514046711,0.119803015540239,0.0835427425479191,0.11979416875815,0.084116330799581,0.117547496598134,0.0827342605629539,0.110661017695491,0.0773009017617731
748,"SWZ","Swaziland",1990,0.0384604605039482,0.0360310511681362,0.0518578824221609,0.0485810077602695,0.0559609822166176,0.0512201310623313,0.0612099464077739,0.0536986217037601,0.0634426690352984,0.0524795907383264,0.0631496547610642,0.0497371141591953,0.0610788575261425,0.046497756450931,0.0574778746439158,0.0435295965767379,0.0553460395978525,0.0427354644652606,0.0534227674166433,0.0425166555645657,0.0509848738903846,0.042154272014701,0.0469692787177069,0.0408868450447943
